Utilizacion 78.785482 VolCajasEmpacado 79.981344 Duracion[s] 60.009000 Iteraciones 6954
0 2 0 0 0 0 53 109 24
1 2 0 0 109 0 53 218 24
2 1 0 0 0 24 69 81 93
3 1 0 0 81 24 69 162 93
4 1 0 0 0 93 69 81 162
5 1 0 0 81 93 69 162 162
6 0 0 0 162 24 77 228 121
7 0 0 0 162 121 77 228 218
8 1 0 69 0 0 138 81 69
9 3 1 0 0 162 53 109 186
10 3 1 0 0 186 53 109 210
11 4 1 69 0 69 146 97 135
12 4 1 69 0 135 146 97 201
13 4 1 77 97 0 174 163 77
14 4 1 77 97 77 174 163 154
15 5 1 77 163 0 158 232 69
16 6 2 0 109 162 109 162 186
17 6 2 0 109 186 109 162 210
18 8 2 77 163 69 146 232 150
19 7 2 109 97 154 186 194 220
20 7 2 146 0 0 212 97 77
21 7 2 146 0 77 212 97 154
22 7 2 146 0 154 243 77 220
23 8 2 186 97 0 255 178 69
24 9 3 186 178 0 295 231 24
25 10 3 186 97 69 255 166 150
26 9 3 186 178 24 295 231 48
27 10 3 186 97 150 255 178 219
28 9 3 186 178 48 295 231 72
29 10 3 243 0 0 312 81 69
30 10 3 243 0 69 312 81 138
31 10 3 243 0 138 312 81 207
32 11 4 186 178 72 295 231 96
33 11 4 186 178 96 295 231 120
34 11 4 186 178 120 295 231 144
35 12 4 255 81 0 352 158 66
36 12 4 352 81 0 449 158 66
37 12 4 449 81 0 546 158 66
38 12 4 255 81 66 321 178 143
39 13 4 255 81 143 324 162 212
40 13 4 312 0 0 381 69 81
41 13 4 381 0 0 450 69 81
42 14 5 186 178 144 295 231 168
43 14 5 186 178 168 295 231 192
44 14 5 186 178 192 295 231 216
45 15 5 312 0 81 381 81 150
46 16 5 312 0 150 409 77 216
47 16 5 321 162 0 418 228 77
48 16 5 321 162 77 418 228 154
49 17 6 295 162 154 404 215 178
50 17 6 295 162 178 404 215 202
51 19 6 409 0 81 478 81 150
52 19 6 409 0 150 478 81 219
53 19 6 324 81 66 393 162 135
54 19 6 324 81 135 393 162 204
55 19 6 393 81 66 462 162 135
56 18 6 393 81 135 490 158 201
57 18 6 418 162 0 495 228 97
58 18 6 418 162 97 495 228 194
59 17 6 404 158 194 513 211 218
60 20 7 478 0 0 587 53 24
61 20 7 478 0 24 587 53 48
62 20 7 478 0 48 587 53 72
63 20 7 478 0 72 587 53 96
64 20 7 478 0 96 587 53 120
65 20 7 478 0 120 587 53 144
66 21 7 478 0 144 575 77 210
67 22 7 490 77 66 559 146 147
68 22 7 490 77 147 559 158 216
69 22 7 513 158 0 582 227 81
70 22 7 513 158 81 582 227 162
