Utilizacion 72.710948 VolCajasEmpacado 74.813935 Duracion[s] 60.011000 Iteraciones 3548
0 1 0 0 0 0 46 51 44
1 1 0 0 51 0 46 102 44
2 1 0 0 102 0 46 153 44
3 1 0 0 153 0 46 204 44
4 0 0 0 0 44 38 117 88
5 0 0 0 0 88 38 117 132
6 0 0 0 0 132 38 117 176
7 3 0 0 0 176 32 51 213
8 2 0 0 117 44 47 212 136
9 9 1 0 51 176 38 168 220
10 4 1 0 168 136 54 223 209
11 5 1 46 0 0 135 103 73
12 5 1 46 0 73 135 103 146
13 5 1 46 0 146 135 103 219
14 7 1 47 103 0 91 154 46
15 7 1 47 103 46 91 154 92
16 10 1 47 103 92 84 154 124
17 6 1 54 154 0 149 201 92
18 6 1 54 154 92 149 201 184
19 8 1 135 0 0 251 98 40
20 14 2 47 103 124 91 154 170
21 14 2 47 103 170 91 154 216
22 11 2 54 154 184 170 193 207
23 11 2 135 0 40 174 116 63
24 12 2 54 201 0 91 233 51
25 14 2 91 103 0 135 154 46
26 15 2 135 0 63 208 89 166
27 13 2 135 0 166 251 98 206
28 21 3 54 201 51 91 233 102
29 21 3 54 201 102 91 233 153
30 16 3 91 201 0 207 224 39
31 16 3 91 201 39 207 224 78
32 20 3 135 116 0 252 154 44
33 20 3 135 116 44 252 154 88
34 18 3 91 103 88 186 150 180
35 18 3 170 154 0 265 201 92
36 19 3 170 150 92 221 194 138
37 19 3 170 150 138 221 194 184
38 19 3 186 98 88 237 142 134
39 19 3 186 98 134 232 149 178
40 17 3 251 0 0 340 103 73
41 18 3 251 0 73 346 47 165
42 22 4 170 98 184 209 214 207
43 23 4 54 201 153 105 233 190
44 23 4 91 103 180 142 140 212
45 25 4 221 149 92 267 193 143
46 25 4 251 0 165 295 46 216
47 27 4 221 149 143 276 203 216
48 25 4 295 0 165 339 51 211
49 26 4 251 51 73 346 98 165
50 24 4 276 103 0 374 219 40
51 24 4 276 103 40 392 201 80
52 32 5 209 98 178 241 149 215
53 31 5 251 51 165 297 95 216
54 31 5 297 51 165 343 95 216
55 30 5 252 98 80 369 142 118
56 32 5 241 98 118 278 149 150
57 33 5 276 201 40 392 224 79
58 28 5 276 149 80 365 222 183
59 29 5 278 98 118 373 145 210
60 29 5 346 0 0 438 95 47
61 29 5 346 0 47 438 95 94
62 29 5 346 0 94 438 95 141
63 34 5 346 0 141 462 98 181
64 34 5 392 98 0 490 214 40
65 34 5 392 98 40 490 214 80
66 34 5 462 0 0 578 98 40
67 35 6 339 0 181 456 44 219
68 35 6 343 44 181 460 88 219
69 36 6 365 145 80 416 189 126
70 36 6 365 145 126 416 189 172
71 36 6 365 145 172 416 189 218
72 37 6 373 98 80 468 145 172
73 37 6 416 98 172 511 190 219
74 37 6 462 0 40 557 47 132
75 37 6 462 47 40 557 94 132
76 38 6 462 0 132 565 89 205
77 38 6 511 98 0 584 201 89
78 39 7 276 190 183 327 227 215
79 40 7 511 94 89 584 148 144
80 40 7 511 94 144 584 148 199
81 41 7 511 148 89 562 194 133
82 41 7 511 148 133 562 194 177
83 44 7 365 201 80 481 224 119
84 43 7 365 190 119 482 228 163
85 43 7 365 190 163 482 228 207
