Utilizacion 75.190683 VolCajasEmpacado 91.149628 Duracion[s] 60.029000 Iteraciones 1549
0 4 0 0 0 0 101 92 106
1 6 0 0 0 106 95 92 188
2 0 0 0 0 188 37 34 218
3 2 0 0 34 188 46 79 229
4 2 0 46 34 188 92 79 229
5 5 0 0 92 0 69 160 61
6 5 0 69 92 0 138 160 61
7 5 0 0 160 0 69 228 61
8 5 0 69 160 0 138 228 61
9 6 0 0 92 61 95 184 143
10 6 0 0 92 143 95 184 225
11 1 0 0 184 61 43 225 97
12 1 0 0 184 97 43 225 133
13 6 0 101 0 0 183 92 95
14 6 0 101 0 95 183 92 190
15 2 0 101 0 190 147 45 231
16 6 0 138 92 0 220 187 92
17 3 0 220 0 0 346 137 161
18 3 0 346 0 0 472 137 161
19 7 1 0 184 133 33 224 170
20 7 1 0 184 170 33 224 207
21 7 1 0 184 207 33 224 244
22 7 1 101 45 190 134 82 230
23 14 1 134 45 190 183 89 240
24 14 1 138 187 0 182 236 50
25 13 1 220 0 161 289 61 229
26 13 1 220 61 161 289 122 229
27 13 1 289 0 161 358 61 229
28 13 1 289 61 161 358 122 229
29 11 1 220 137 0 338 237 108
30 11 1 338 137 0 456 237 108
31 11 1 456 137 0 574 237 108
32 13 1 220 137 108 281 206 176
33 13 1 220 137 176 281 206 244
34 13 1 358 0 161 427 61 229
35 13 1 358 61 161 427 122 229
36 13 1 281 137 108 342 206 176
37 13 1 281 137 176 342 206 244
38 13 1 342 137 108 411 198 176
39 13 1 411 137 108 480 198 176
40 13 1 342 137 176 411 198 244
41 13 1 411 137 176 480 198 244
42 13 1 480 137 108 541 206 176
43 13 1 480 137 176 541 206 244
44 13 1 472 0 0 541 61 68
45 13 1 472 61 0 541 122 68
46 13 1 472 0 68 541 61 136
47 13 1 472 0 136 541 61 204
48 13 1 472 61 68 541 122 136
49 13 1 472 61 136 541 122 204
50 8 1 541 0 0 667 113 144
51 8 1 667 0 0 793 113 144
52 12 1 541 0 144 633 106 245
53 10 1 574 113 0 675 229 197
54 13 1 633 0 144 694 69 212
55 9 1 675 113 0 801 226 218
56 9 1 793 0 0 919 113 218
57 9 1 801 113 0 914 239 218
58 9 1 914 113 0 1027 239 218
59 9 1 1027 113 0 1140 239 218
60 9 1 1140 113 0 1253 239 218
61 9 1 919 0 0 1045 113 218
62 17 2 1045 0 0 1120 86 85
63 17 2 1120 0 0 1195 86 85
64 17 2 1195 0 0 1270 86 85
65 17 2 1270 0 0 1345 86 85
66 16 2 1045 0 85 1137 82 180
67 20 2 1045 0 180 1099 61 240
68 15 2 1137 0 85 1222 86 160
69 21 2 1222 0 85 1271 55 140
70 21 2 1222 0 140 1271 55 195
71 16 2 1253 86 0 1348 168 92
72 19 2 1253 86 92 1320 163 166
73 19 2 1253 86 166 1320 163 240
74 19 2 1253 168 0 1330 235 74
75 19 2 1271 0 85 1338 77 159
76 19 2 1253 168 74 1330 235 148
77 19 2 1253 168 148 1330 235 222
78 19 2 1271 0 159 1338 77 233
