Utilizacion 77.742998 VolCajasEmpacado 35.260401 Duracion[s] 56.068000 Iteraciones 788
0 17 0 0 0 0 155 168 195
1 17 0 155 0 0 310 168 195
2 17 0 310 0 0 465 168 195
3 27 0 0 168 0 41 204 43
4 27 0 41 168 0 82 204 43
5 27 0 82 168 0 123 204 43
6 27 0 0 204 0 41 240 43
7 27 0 41 204 0 82 240 43
8 27 0 82 204 0 123 240 43
9 21 0 0 0 195 2 22 245
10 21 0 0 22 195 2 44 245
11 21 0 0 44 195 2 66 245
12 21 0 0 66 195 2 88 245
13 21 0 0 88 195 2 110 245
14 21 0 0 110 195 2 132 245
15 21 0 0 132 195 2 154 245
16 21 0 0 154 195 2 176 245
17 10 0 0 176 43 54 237 103
18 0 0 0 176 103 55 225 158
19 10 0 0 176 158 61 230 218
20 12 0 0 176 218 46 226 236
21 21 0 0 230 103 50 232 125
22 21 0 0 232 103 50 234 125
23 21 0 0 234 103 50 236 125
24 2 0 0 236 103 63 237 166
25 21 0 0 226 218 50 228 240
26 21 0 0 228 218 50 230 240
27 18 0 0 176 236 25 189 237
28 18 0 25 176 236 50 189 237
29 21 0 0 176 237 50 198 239
30 21 0 0 176 239 50 198 241
31 20 0 0 198 236 40 214 238
32 20 0 0 198 238 40 214 240
33 20 0 0 198 240 40 214 242
34 20 0 0 198 242 40 214 244
35 18 0 0 176 241 25 189 242
36 18 0 25 176 241 50 189 242
37 21 0 2 0 195 24 2 245
38 21 0 2 2 195 24 4 245
39 21 0 2 4 195 24 6 245
40 21 0 2 6 195 24 8 245
41 21 0 2 8 195 24 10 245
42 18 0 2 10 195 27 23 196
43 18 0 2 23 195 27 36 196
44 18 0 2 36 195 27 49 196
45 18 0 2 49 195 27 62 196
46 18 0 2 62 195 27 75 196
47 18 0 2 75 195 27 88 196
48 18 0 2 88 195 27 101 196
49 18 0 2 101 195 27 114 196
50 18 0 2 114 195 27 127 196
51 18 0 2 127 195 27 140 196
52 18 0 2 140 195 27 153 196
53 18 0 2 153 195 27 166 196
54 18 0 2 10 196 27 23 197
55 18 0 2 23 196 27 36 197
56 18 0 2 36 196 27 49 197
57 18 0 2 49 196 27 62 197
58 18 0 2 62 196 27 75 197
59 18 0 2 75 196 27 88 197
60 18 0 2 88 196 27 101 197
61 18 0 2 101 196 27 114 197
62 18 0 2 114 196 27 127 197
63 18 0 2 127 196 27 140 197
64 18 0 2 140 196 27 153 197
65 18 0 2 153 196 27 166 197
66 12 0 2 10 197 52 56 215
67 12 0 2 10 215 52 56 233
68 20 0 2 10 233 18 50 235
69 12 0 2 56 197 52 102 215
70 12 0 2 56 215 52 102 233
71 20 0 2 10 235 18 50 237
72 20 0 2 10 237 18 50 239
73 20 0 2 10 239 18 50 241
74 18 0 2 10 241 15 35 242
75 18 0 2 10 242 15 35 243
76 20 0 2 10 243 18 50 245
77 20 0 2 102 197 42 118 199
78 20 0 2 118 197 42 134 199
79 20 0 2 134 197 42 150 199
80 20 0 2 150 197 42 166 199
81 20 0 2 102 199 42 118 201
82 20 0 2 118 199 42 134 201
83 20 0 2 134 199 42 150 201
84 20 0 2 150 199 42 166 201
85 20 0 2 102 201 42 118 203
86 20 0 2 118 201 42 134 203
87 20 0 2 134 201 42 150 203
88 20 0 2 150 201 42 166 203
89 20 0 2 102 203 42 118 205
90 20 0 2 118 203 42 134 205
91 20 0 2 134 203 42 150 205
92 20 0 2 150 203 42 166 205
93 20 0 2 102 205 42 118 207
94 20 0 2 118 205 42 134 207
95 20 0 2 134 205 42 150 207
96 20 0 2 150 205 42 166 207
97 8 0 2 102 207 57 157 227
98 9 0 2 102 227 67 156 237
99 20 0 2 50 233 18 90 235
100 9 0 18 10 233 83 64 243
101 28 0 61 168 43 110 212 93
102 9 0 61 168 93 115 233 103
103 9 0 61 168 103 115 233 113
104 9 0 61 168 113 115 233 123
105 9 0 61 168 123 115 233 133
106 9 0 61 168 133 115 233 143
107 9 0 61 168 143 115 233 153
108 9 0 61 168 153 115 233 163
109 9 0 61 168 163 115 233 173
110 12 0 67 64 195 117 110 213
111 12 0 117 64 195 167 110 213
112 12 0 167 64 195 217 110 213
113 12 0 217 64 195 267 110 213
114 12 0 267 64 195 317 110 213
115 8 0 67 64 213 122 119 233
116 8 0 61 168 173 116 223 193
117 8 0 61 168 193 116 223 213
118 11 0 61 156 213 111 206 234
119 0 0 83 0 195 138 55 244
120 5 0 122 55 213 252 159 226
121 5 0 122 55 226 252 159 239
122 1 0 123 168 0 235 238 71
123 1 0 123 168 71 235 238 142
124 1 0 123 168 142 235 238 213
125 16 0 123 238 0 125 240 39
126 0 0 138 0 195 193 55 244
127 11 0 193 0 195 243 50 216
128 0 0 243 0 195 298 55 244
129 0 0 298 0 195 353 55 244
130 0 0 353 0 195 408 55 244
131 0 0 408 0 195 463 55 244
132 5 0 235 168 0 365 181 104
133 5 0 235 181 0 365 194 104
134 5 0 235 194 0 365 207 104
135 5 0 235 207 0 365 220 104
136 5 0 235 220 0 365 233 104
137 5 0 235 168 104 339 181 234
138 5 0 235 181 104 339 194 234
139 5 0 235 194 104 339 207 234
140 5 0 235 207 104 339 220 234
141 5 0 235 220 104 339 233 234
142 0 0 252 110 195 307 165 244
143 0 0 307 110 195 362 165 244
144 0 0 362 110 195 417 165 244
145 0 0 417 110 195 472 165 244
146 13 0 317 55 195 363 100 236
147 1 0 365 168 0 477 238 71
148 1 0 477 168 0 589 238 71
149 1 0 589 168 0 701 238 71
150 1 0 701 168 0 813 238 71
151 1 0 813 168 0 925 238 71
152 1 0 925 168 0 1037 238 71
153 4 0 365 168 71 445 228 142
154 3 0 465 0 0 583 100 108
155 3 0 465 0 108 583 100 216
156 6 0 472 100 71 612 237 183
157 14 0 472 100 183 584 240 226
158 15 0 612 0 0 752 113 143
159 7 0 612 113 71 752 225 142
160 14 0 612 0 143 752 112 186
161 14 0 612 0 186 752 112 229
162 7 0 612 113 142 752 225 213
163 15 0 752 0 0 892 113 143
164 15 0 892 0 0 1032 113 143
165 24 0 752 113 71 912 229 237
166 7 0 752 0 143 892 112 214
167 7 0 892 0 143 1032 112 214
168 7 0 912 113 71 1052 225 142
169 7 0 912 113 142 1052 225 213
170 6 0 1032 0 0 1169 112 140
171 7 0 1032 0 140 1172 112 211
172 7 0 1052 112 0 1192 224 71
173 7 0 1052 112 71 1192 224 142
174 7 0 1052 112 142 1192 224 213
175 7 0 1172 0 0 1312 112 71
176 26 0 1192 0 71 1318 113 215
177 25 0 1192 113 0 1308 229 162
