Utilizacion 73.168109 VolCajasEmpacado 74.650783 Duracion[s] 60.003000 Iteraciones 7703
0 1 0 0 0 0 67 90 98
1 0 0 0 0 98 71 80 180
2 3 1 0 0 180 76 77 211
3 2 1 0 90 0 98 180 67
4 2 1 0 90 67 98 180 134
5 4 2 0 80 134 71 160 216
6 5 3 0 180 0 100 218 56
7 6 4 0 180 56 66 217 83
8 9 5 76 0 0 147 82 80
9 7 5 76 0 80 143 86 173
10 8 5 98 86 0 196 153 90
11 9 5 98 86 90 169 166 172
12 12 6 0 180 83 66 217 110
13 10 6 76 0 173 152 77 204
14 10 6 71 86 172 147 163 203
15 11 6 0 180 110 100 218 166
16 13 7 100 166 0 186 233 93
17 14 8 0 166 166 100 222 204
18 15 9 100 166 93 127 232 130
19 16 9 152 0 0 241 76 30
20 18 10 127 166 93 213 233 186
21 17 10 152 0 30 229 76 61
22 19 10 152 0 61 242 67 159
23 20 11 196 76 0 278 156 71
24 21 11 196 67 71 282 160 138
25 22 12 152 0 159 241 76 189
26 23 13 152 0 189 228 89 219
27 24 13 169 89 138 269 145 176
28 25 13 147 89 176 234 141 218
29 26 13 213 160 0 299 227 93
30 27 14 147 141 186 236 217 216
31 28 14 236 76 176 292 176 214
32 29 14 242 0 0 328 67 93
33 32 15 236 176 93 302 203 130
34 30 15 242 0 93 340 67 183
35 31 15 241 0 183 318 76 214
36 30 15 292 76 0 382 143 98
37 34 16 236 176 130 323 228 172
38 33 16 236 176 172 336 232 210
39 35 17 292 76 98 330 176 154
40 36 18 292 76 154 330 176 210
41 37 18 330 67 98 382 154 140
42 38 19 330 67 140 406 156 170
43 38 19 330 67 170 419 143 200
44 39 19 336 156 0 418 227 80
45 40 20 336 156 80 423 208 122
46 41 21 336 156 122 413 232 153
47 43 21 336 156 153 436 194 209
48 42 21 340 0 0 427 52 42
49 44 22 318 0 183 345 66 220
50 45 23 336 194 153 436 232 209
51 47 24 345 0 42 445 56 80
52 46 24 419 56 0 508 132 30
53 48 25 419 56 30 508 132 60
54 49 26 345 0 80 432 52 122
55 49 26 345 0 122 432 52 164
56 50 27 345 0 164 432 42 216
57 51 27 419 56 60 486 154 150
58 52 28 419 52 150 496 128 181
59 53 28 436 154 0 518 225 80
60 56 29 419 42 181 475 142 219
61 55 29 436 154 80 518 225 160
62 54 29 436 142 160 512 219 191
63 57 30 445 0 0 545 38 56
64 57 30 445 0 56 545 38 112
65 58 31 432 0 112 519 42 164
66 60 31 508 42 0 575 140 90
67 59 31 496 42 90 563 135 176
68 59 31 518 140 0 585 226 93
69 61 32 518 135 93 585 225 191
