Utilizacion 70.488163 VolCajasEmpacado 17.369670 Duracion[s] 60.369000 Iteraciones 38
0 16 0 0 0 0 114 109 140
1 16 0 0 109 0 114 218 140
2 5 0 0 0 140 102 128 206
3 18 0 0 218 0 37 230 2
4 14 0 0 0 206 50 22 208
5 12 0 0 22 206 71 93 226
6 15 0 0 128 140 101 234 232
7 17 0 114 0 0 269 195 168
8 17 0 269 0 0 424 195 168
9 17 0 424 0 0 579 195 168
10 17 0 579 0 0 734 195 168
11 2 0 101 128 168 162 188 222
12 2 0 162 128 168 223 188 222
13 2 0 223 128 168 284 188 222
14 2 0 102 0 168 162 54 229
15 2 0 102 54 168 162 108 229
16 0 0 114 195 0 194 230 80
17 2 0 162 0 168 216 60 229
18 2 0 216 0 168 270 60 229
19 2 0 162 60 168 223 114 228
20 10 0 114 195 80 156 233 126
21 2 0 223 60 168 284 114 228
22 1 0 270 0 168 319 58 223
23 2 0 284 58 168 338 119 228
24 2 0 284 119 168 338 180 228
25 7 0 319 0 168 365 41 213
26 7 0 365 0 168 411 41 213
27 7 0 338 41 168 379 86 214
28 7 0 338 86 168 379 131 214
29 7 0 338 131 168 379 176 214
30 2 0 379 41 168 440 95 228
31 4 0 379 95 168 447 159 225
32 7 0 379 159 168 425 200 213
33 2 0 425 159 168 486 213 228
34 7 0 440 0 168 485 46 209
35 7 0 440 46 168 485 92 209
36 6 0 447 92 168 496 140 211
37 7 0 485 0 168 530 46 209
38 7 0 485 46 168 530 92 209
39 11 0 486 140 168 529 181 204
40 7 0 496 92 168 537 137 214
41 7 0 537 92 168 578 137 214
42 7 0 529 137 168 575 182 209
43 11 0 530 0 168 571 43 204
44 11 0 530 43 168 571 86 204
45 15 0 734 0 0 840 101 92
46 15 0 840 0 0 946 101 92
47 15 0 946 0 0 1052 101 92
48 15 0 1052 0 0 1158 101 92
49 9 0 734 101 0 801 178 74
50 9 0 801 101 0 868 178 74
51 9 0 868 101 0 935 178 74
52 9 0 935 101 0 1002 178 74
53 9 0 1002 101 0 1069 178 74
54 9 0 1069 101 0 1136 178 74
55 11 0 734 0 92 777 41 128
56 11 0 734 41 92 777 82 128
57 7 0 734 0 128 779 41 174
58 7 0 734 41 128 780 82 173
59 7 0 734 41 173 780 82 218
60 7 0 779 0 92 824 41 138
61 7 0 779 0 138 825 41 183
62 7 0 779 0 183 825 41 228
63 9 0 780 41 92 847 118 166
64 7 0 734 178 0 775 223 46
65 7 0 780 41 166 821 86 212
66 7 0 780 86 166 821 131 212
67 7 0 734 178 46 775 223 92
68 7 0 734 178 92 775 223 138
69 7 0 734 178 138 775 223 184
70 7 0 734 178 184 775 223 230
71 7 0 821 41 166 867 82 211
72 7 0 734 101 74 780 142 119
73 7 0 734 101 119 780 142 164
74 7 0 734 101 164 780 142 209
75 11 0 775 142 74 818 183 110
76 11 0 775 142 110 818 183 146
77 11 0 775 142 146 818 183 182
78 11 0 775 142 182 818 183 218
79 7 0 775 183 0 816 229 45
80 7 0 775 183 45 816 228 91
81 7 0 775 183 91 816 228 137
82 7 0 775 183 137 816 228 183
83 7 0 775 183 183 816 228 229
84 7 0 821 82 166 862 128 211
85 7 0 816 183 0 861 229 41
86 16 0 867 0 92 981 140 201
87 11 0 981 0 92 1022 43 128
88 11 0 1022 0 92 1063 43 128
89 11 0 981 43 92 1022 86 128
90 11 0 1022 43 92 1063 86 128
91 11 0 981 0 128 1022 43 164
92 11 0 1022 0 128 1063 43 164
93 11 0 981 43 128 1022 86 164
94 11 0 1022 43 128 1063 86 164
95 11 0 981 0 164 1022 43 200
96 11 0 1022 0 164 1063 43 200
97 11 0 981 43 164 1022 86 200
98 11 0 1022 43 164 1063 86 200
99 7 0 1063 0 92 1108 41 138
100 7 0 1063 41 92 1108 82 138
101 7 0 1063 0 138 1108 41 184
102 7 0 1063 41 138 1108 82 184
103 7 0 1063 0 184 1108 41 230
104 7 0 1063 41 184 1108 82 230
105 7 0 816 183 41 857 229 86
106 7 0 816 183 86 857 229 131
107 7 0 816 183 131 857 229 176
108 7 0 816 183 176 857 229 221
109 7 0 818 131 74 864 172 119
110 11 0 818 131 119 859 174 155
111 11 0 818 131 155 861 172 191
112 11 0 818 131 191 861 172 227
113 11 0 861 178 0 904 219 36
114 11 0 904 178 0 947 219 36
115 11 0 947 178 0 990 219 36
116 11 0 990 178 0 1033 219 36
117 11 0 1033 178 0 1076 219 36
118 11 0 1076 178 0 1119 219 36
119 11 0 1119 178 0 1162 219 36
120 3 0 1108 0 92 1168 81 212
121 11 0 981 101 74 1022 144 110
122 11 0 981 101 110 1022 144 146
123 11 0 981 101 146 1022 144 182
124 11 0 981 101 182 1022 144 218
125 11 0 861 178 36 902 221 72
126 9 0 1022 101 74 1089 178 148
127 9 0 1022 86 148 1099 153 222
128 9 0 1099 101 74 1166 178 148
129 9 0 1099 101 148 1166 178 222
