29	3
1350	240	245
0	31	0	10	0	3	1	20	100000	0	0	1935	0	1
1	25	0	10	0	3	1	40	100000	0	0	5200	1	1
2	20	0	10	0	3	1	30	100000	0	0	3500	0	1
3	35	0	12	0	3	1	10	100000	0	0	3571	1	1
4	40	0	13	0	4	1	40	200000	0	0	4615	1	2
5	50	0	20	0	4	1	20	300000	0	0	3700	2	1
6	37	0	34	0	30	1	10	500000	0	0	810	0	1
7	40	1	37	1	33	1	2	600000	0	3636	3243	2	1
8	42	0	40	0	38	1	10	1700000	0	0	0	0	1
9	43	0	41	0	36	1	2	700000	0	0	5638	0	2
10	46	0	45	0	41	1	10	800000	0	0	411	2	2
11	50	0	49	0	44	1	8	1000000	0	0	6612	2	1
12	55	0	55	0	49	1	10	1500000	0	0	1005	1	1
13	61	0	60	0	54	1	10	2100000	0	0	3475	0	1
14	77	1	67	1	74	1	6	3000000	7997	535	7686	2	1
15	69	0	68	0	61	1	8	2600000	0	0	8568	2	1
16	77	0	74	0	67	1	12	3300000	0	0	6467	2	1
17	120	0	80	0	113	1	1	17400000	0	0	10931	0	1
18	86	1	85	1	75	1	12	4300000	2742	5420	7174	0	1
19	123	1	86	1	122	1	1	22100000	2110	0	2093	2	1
20	106	1	92	1	101	1	2	9300000	7006	6081	6676	0	1
21	107	0	98	0	147	1	1	20600000	0	0	11787	0	1
22	116	1	101	1	197	1	2	34000000	5126	4464	8706	1	1
23	106	1	101	1	92	1	2	8400000	0	0	0	1	1
24	118	0	108	0	100	1	4	11600000	0	0	911	2	1
25	126	0	113	0	144	1	4	18400000	0	0	7758	0	1
26	138	0	136	0	197	1	1	40600000	0	0	30301	0	1
27	154	0	149	0	148	1	1	40400000	0	0	22889	0	1
28	180	0	171	0	163	1	1	60400000	0	0	1961	1	1
