37	2
587	233	220
18	57	1	34	1	29	1	1	5620200	5585	25199	19832	0
1	86	0	40	1	29	1	2	9976000	25584	9247	11257	0
4	102	0	83	0	29	1	3	24551400	19250	26715	21254	0
12	97	0	48	1	30	1	3	13968000	17465	12362	29968	0
10	112	0	59	1	30	1	1	19824000	17241	15423	15951	0
6	89	0	65	1	36	1	5	20826000	24790	19652	15602	0
3	75	0	57	1	37	1	1	15817500	3043	21406	25116	0
14	90	0	83	1	44	1	1	32868000	21113	25618	5066	0
9	65	1	57	1	45	1	3	16672500	18984	4309	1961	0
2	66	1	55	1	48	1	3	17424000	9118	16605	19065	0
0	76	1	74	1	50	1	6	28120000	23841	11834	10294	0
5	74	1	58	1	52	1	2	22318400	8716	19281	25839	0
15	101	1	93	1	64	1	2	60115200	24454	13372	1526	0
8	80	1	78	1	66	1	3	41184000	21519	7878	20481	0
7	99	1	68	1	67	1	3	45104400	29353	26232	16562	0
19	78	1	71	1	68	1	3	37658400	17428	10680	23565	0
11	79	1	75	1	68	1	2	40290000	28684	21238	5361	0
16	89	1	82	1	78	1	2	56924400	15342	36	26242	0
17	85	0	54	0	26	1	4	11934000	24634	424	3143	1
18	57	1	34	1	29	1	2	5620200	5585	25199	19832	1
1	86	0	40	1	29	1	5	9976000	25584	9247	11257	1
4	102	0	83	0	29	1	5	24551400	19250	26715	21254	1
12	97	0	48	1	30	1	8	13968000	17465	12362	29968	1
10	112	0	59	1	30	1	2	19824000	17241	15423	15951	1
13	73	0	70	0	31	1	3	15841000	17517	17980	51	1
3	75	0	57	1	37	1	2	15817500	3043	21406	25116	1
14	90	0	83	1	44	1	3	32868000	21113	25618	5066	1
9	65	1	57	1	45	1	2	16672500	18984	4309	1961	1
2	66	1	55	1	48	1	2	17424000	9118	16605	19065	1
0	76	1	74	1	50	1	2	28120000	23841	11834	10294	1
5	74	1	58	1	52	1	2	22318400	8716	19281	25839	1
15	101	1	93	1	64	1	2	60115200	24454	13372	1526	1
8	80	1	78	1	66	1	2	41184000	21519	7878	20481	1
7	99	1	68	1	67	1	2	45104400	29353	26232	16562	1
19	78	1	71	1	68	1	1	37658400	17428	10680	23565	1
11	79	1	75	1	68	1	6	40290000	28684	21238	5361	1
16	89	1	82	1	78	1	6	56924400	15342	36	26242	1
