13	3
1350	240	245
0	40	0	37	0	33	1	1	700000	0	0	6405	0	2
1	49	0	44	0	50	1	1	1200000	0	0	3451	0	1
2	46	0	45	0	41	1	1	1000000	0	0	7101	1	3
3	55	0	49	0	55	1	6	1600000	0	0	4338	0	1
4	69	1	61	1	68	1	6	2700000	0	0	641	2	1
5	77	1	67	1	74	1	7	3600000	2215	642	2128	1	1
6	86	0	75	0	85	1	9	4600000	0	0	5718	2	1
7	95	1	82	1	92	1	2	7600000	4030	6087	6829	0	1
8	95	1	92	1	82	1	1	6500000	0	0	0	1	1
9	106	0	92	0	101	1	3	10500000	0	0	11844	1	1
10	116	1	100	1	129	1	10	16000000	3721	7485	13793	1	1
11	126	0	113	0	144	1	1	26000000	0	0	5478	1	2
12	137	0	126	0	161	1	1	26600000	0	0	4623	1	1
