71	3
1180	235	235
0	25	0	8	0	2	1	1	100000	0	0	5500	2	1
1	33	0	12	0	2	1	1	100000	0	0	1010	1	1
2	37	0	12	0	2	1	1	100000	0	0	2252	0	3
3	20	0	12	0	1	1	1	100000	0	0	833	1	1
4	25	1	13	1	1	1	1	100000	0	0	0	1	1
5	31	0	14	0	1	1	1	100000	0	0	2535	1	1
6	44	0	15	0	2	1	1	100000	0	0	1969	1	1
7	40	0	16	0	2	1	1	200000	0	0	4375	1	1
8	52	0	17	0	2	1	1	100000	0	0	475	2	1
9	64	0	19	0	2	1	1	200000	0	0	822	1	1
10	56	1	22	1	2	1	1	700000	17045	66964	8523	1	1
11	50	0	22	0	2	1	1	300000	0	0	1009	0	1
12	71	0	26	0	3	1	1	1100000	0	0	7151	1	1
13	37	0	34	0	30	1	36	600000	0	0	1621	1	1
14	39	0	36	0	32	1	1	500000	0	0	0	1	1
15	40	0	37	0	33	1	36	700000	0	0	5872	1	1
16	48	0	38	0	43	1	1	1600000	0	0	0	2	1
17	42	1	39	1	38	1	1	700000	0	940	916	2	1
18	43	0	41	0	36	1	36	700000	0	0	5638	0	2
19	46	1	42	1	38	1	1	800000	1598	1459	5719	0	1
20	48	0	42	0	43	1	1	900000	0	0	6250	1	1
21	49	0	44	0	50	1	12	1000000	0	0	4174	2	2
22	46	1	45	1	41	1	48	1000000	2846	2784	3551	0	1
23	49	0	48	0	43	1	1	1000000	0	0	5204	0	1
24	55	1	49	1	54	1	12	1500000	2910	3630	6857	1	1
25	55	1	49	1	49	1	1	1400000	3574	1592	3714	1	1
26	50	1	49	1	44	1	12	1000000	500	4418	3966	2	1
27	50	0	50	0	5	1	1	3500000	0	0	11200	2	2
28	61	1	54	1	60	1	13	1800000	556	984	1638	0	1
29	55	1	55	1	49	1	24	1700000	1299	2597	2314	2	1
30	58	1	55	1	49	1	1	1600000	7258	1721	7665	0	1
31	64	0	58	0	57	1	1	2100000	0	0	6223	2	1
32	120	1	60	1	81	1	1	8400000	13827	11235	17500	0	1
33	61	1	60	1	54	1	24	2100000	5972	5874	8811	1	1
34	69	0	61	0	68	1	2	3000000	0	0	2851	2	1
35	63	0	63	0	27	1	1	2200000	0	0	3968	2	1
36	63	0	63	0	54	1	1	4700000	0	0	1202	1	1
37	68	0	64	0	57	1	1	2300000	0	0	1634	0	1
38	128	1	66	1	102	1	1	13000000	13518	1991	21544	0	1
39	77	0	67	0	69	1	1	2700000	0	0	8025	0	1
40	77	0	67	0	74	1	12	2900000	0	0	1686	0	1
41	69	1	68	1	61	1	12	2500000	3074	1818	3803	2	1
42	71	0	71	0	20	1	1	600000	0	0	726	0	1
43	77	1	74	1	67	1	16	3200000	0	4342	4493	2	1
44	86	0	75	0	85	1	6	5000000	0	0	2326	2	1
45	79	0	77	0	69	1	1	3100000	0	0	6816	0	1
46	79	0	79	0	16	1	1	500000	0	0	558	2	1
47	120	1	80	1	103	1	1	13500000	8192	1092	21094	2	1
48	80	1	80	1	35	1	1	4900000	8786	17571	9225	0	1
49	95	1	82	1	92	1	25	6100000	2450	705	2372	1	1
50	86	0	85	0	75	1	32	5000000	0	0	8290	1	1
51	169	0	90	0	159	1	1	34000000	0	0	29060	2	1
52	106	1	92	1	101	1	18	11800000	5080	1102	4840	2	1
53	95	1	92	1	82	1	20	6700000	1787	2596	2314	2	1
54	98	1	98	1	20	1	1	800000	3903	4337	1239	2	1
55	118	0	100	0	108	1	9	12900000	0	0	3280	1	3
56	116	1	100	1	129	1	7	14800000	11473	10879	15310	2	1
57	106	0	101	0	92	1	8	7500000	0	0	2821	0	1
58	118	0	108	0	100	1	7	12100000	0	0	4767	2	1
59	109	0	109	0	23	1	1	1000000	0	0	347	1	3
60	126	0	113	0	144	1	9	13400000	0	0	6587	1	1
61	140	0	113	0	143	1	1	11800000	0	0	11188	1	1
62	140	1	114	1	109	1	3	200000	22	106	135	0	1
63	137	1	126	1	161	1	6	23000000	2268	2086	14656	1	1
64	154	0	142	0	179	1	8	28700000	0	0	0	1	1
65	168	1	155	1	195	1	4	33100000	1095	0	3812	0	1
66	212	0	193	0	248	1	1	86700000	0	0	16952	2	1
67	296	0	202	0	221	1	1	213000000	0	0	21374	1	1
68	311	0	217	0	246	1	1	257000000	0	0	41890	1	1
69	240	0	225	0	245	1	1	86600000	0	0	17641	2	1
70	315	0	305	0	258	1	1	340000000	0	0	10617	1	2
